Location,Latitude,Longitude,Area_ID,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Weapon_Used_Code,Status,Crime_Category,Hours_Occurred,Reported_Year,Reported_Month,Reported_Weekday,Occurred_Day,Occurred_Weekday,Modus_Operandi_num_code,Time_Difference_Log
10900    HADDON                       AV,34.2685,-118.4366,16,1622,2,40,F,H,109,400.0,AO,Violent Crimes,9.25,2020,8,0,10,0,8,0.0
8100    ETIWANDA                     AV,34.2177,-118.5317,10,1004,2,44,F,H,501,400.0,AO,Violent Crimes,21.5,2020,6,2,12,4,6,4.795790545596741
8700 S  HARVARD                      BL,33.9563,-118.3069,12,1273,1,50,F,B,502,0.0,IC,Property Crimes,15.0,2021,4,1,15,1,2,8.491465042843506
200 E  25TH                         ST,34.0253,-118.267,13,1321,1,0,X,X,107,0.0,IC,Property Crimes,16.0,2020,4,5,10,4,1,3.2188758248682006
100    THE GROVE                    DR,34.0761,-118.3563,7,724,1,79,F,W,201,302.0,IC,Property Crimes,20.0,2020,6,3,30,5,7,6.124683390894205
3RD,34.0445,-118.2173,4,463,2,0,X,X,101,0.0,AA,Other Crimes,17.216666666666665,2020,11,0,23,0,2,0.0
1800 W  6TH                          ST,34.0596,-118.2701,2,247,1,24,M,H,102,218.0,IC,Violent Crimes,19.0,2020,12,6,13,6,4,0.0
HOLLYWOOD,34.1131,-118.341,6,625,2,41,M,H,301,0.0,IC,Fraud and White-Collar Crimes,9.75,2020,3,5,22,5,1,6.734591659972948
700 S  UNION                        AV,34.0531,-118.2738,2,266,1,33,M,H,502,201.0,AA,Violent Crimes,19.666666666666668,2020,9,6,13,6,6,0.0
700 S  CENTRAL                      AV,34.0363,-118.2415,13,1307,1,51,,,108,0.0,IC,Property Crimes,23.0,2020,11,2,30,4,1,4.795790545596741
8700    BALBOA                       BL,34.2285,-118.5026,17,1796,2,0,X,X,602,0.0,IC,Other Crimes,7.5,2020,11,0,2,0,2,0.0
00100 S  NORMANDIE                    AV,34.0716,-118.3004,20,2016,1,28,M,W,501,0.0,IC,Property Crimes,5.083333333333333,2020,12,3,9,2,1,3.2188758248682006
800 N  ALAMEDA                      ST,34.0561,-118.2375,1,119,2,26,F,H,900,400.0,IC,Violent Crimes,21.75,2020,7,0,27,0,10,0.0
SHERMAN                      WY,34.201,-118.5977,21,2146,2,18,M,W,122,0.0,IC,Property Crimes,16.5,2020,12,2,15,1,1,3.2188758248682006
5300 S  CENTINELA                    AV,33.985,-118.4135,14,1465,2,64,M,H,501,0.0,IC,Fraud and White-Collar Crimes,7.0,2020,7,4,31,4,2,0.0
7300    ETHEL                        AV,34.2031,-118.4182,15,1511,1,50,M,O,101,114.0,IC,Crimes against Public Order,12.25,2020,12,5,12,5,6,0.0
2800 S  HOPE                         ST,34.0247,-118.2751,13,1331,2,55,F,B,517,312.0,IC,Violent Crimes,14.0,2020,9,0,21,0,4,0.0
MAIN                         ST,33.9538,-118.2739,18,1802,1,35,F,B,101,400.0,AO,Violent Crimes,12.5,2020,1,3,16,3,7,0.0
15300    MAYALL                       ST,34.2536,-118.4649,19,1954,2,20,F,H,101,400.0,AO,Violent Crimes,7.5,2020,10,4,16,4,4,0.0
800    ROSE                         AV,34.0014,-118.4678,14,1415,1,37,F,W,501,0.0,IC,Property Crimes,14.0,2020,8,5,30,3,3,3.8918202981106265
20800    VALERIO                      ST,34.2047,-118.5863,21,2137,1,63,M,B,507,0.0,IC,Property Crimes,4.0,2020,4,1,21,1,3,0.0
4200    CHASE                        AV,33.9922,-118.4294,14,1455,1,0,,,101,0.0,IC,Property Crimes,8.0,2020,8,1,7,4,1,4.574710978503383
4800 W  MELROSE                      AV,34.0864,-118.3059,6,678,1,43,F,O,519,0.0,IC,Property Crimes,14.0,2020,8,1,23,6,3,3.8918202981106265
100 E  98TH                         ST,33.9472,-118.2739,18,1822,2,35,F,H,501,400.0,AO,Violent Crimes,7.0,2020,3,3,19,3,8,0.0
100 N  OXFORD                       AV,34.0737,-118.3079,20,2013,2,63,F,K,502,0.0,IC,Fraud and White-Collar Crimes,18.166666666666668,2020,4,0,6,0,3,5.820082930352362
1700 N  FULLER                       AV,34.1016,-118.3489,6,643,1,36,M,O,501,0.0,IC,Property Crimes,9.5,2020,8,6,9,6,3,0.0
LANKERSHIM,34.1681,-118.3768,15,1548,1,42,M,B,123,0.0,IC,Property Crimes,9.0,2020,4,6,18,2,2,6.07073772800249
4200    LOS FELIZ                    BL,34.1128,-118.2828,11,1132,2,29,M,W,502,400.0,AO,Violent Crimes,14.166666666666666,2020,3,0,2,0,2,0.0
4100    ARCH                         DR,34.1417,-118.3719,15,1585,1,28,F,W,123,0.0,IC,Property Crimes,22.0,2020,11,1,9,0,2,3.2188758248682006
1700 S  WESTGATE                     AV,34.0383,-118.4557,8,852,1,0,,,108,0.0,IC,Property Crimes,3.5,2020,12,6,6,6,1,0.0
1000 W  45TH                         ST,34.0027,-118.2915,12,1204,1,26,M,O,501,207.0,IC,Violent Crimes,18.5,2020,5,5,2,5,5,0.0
400    REDLANDS                     ST,33.9539,-118.4434,14,1472,1,71,M,W,501,0.0,AA,Property Crimes,19.666666666666668,2020,2,2,19,2,3,0.0
7100    MILWOOD                      AV,34.1992,-118.5943,21,2146,2,41,F,H,501,0.0,AA,Crimes against Public Order,0.4166666666666667,2020,10,1,13,1,1,0.0
300    MIRALESTE                    DR,33.7426,-118.3195,5,551,2,64,F,H,502,400.0,IC,Violent Crimes,14.0,2020,1,4,10,4,4,0.0
5000    EXPOSITION                   BL,34.0246,-118.352,3,331,2,37,M,H,949,400.0,IC,Violent Crimes,13.666666666666666,2020,9,0,7,0,2,0.0
8800    CANBY                        AV,34.2308,-118.5348,17,1785,2,26,M,H,104,511.0,AO,Crimes against Public Order,21.0,2020,2,2,26,2,2,0.0
1100 E  104TH                        ST,33.9419,-118.2566,18,1834,1,44,F,B,501,207.0,AO,Violent Crimes,8.0,2020,3,0,2,0,5,0.0
800 W  43RD                         ST,34.0055,-118.2894,3,396,2,34,M,B,122,500.0,IC,Property Crimes,9.0,2020,10,3,1,3,8,0.0
4700 N  SEPULVEDA                    BL,34.156,-118.4662,9,971,2,28,M,H,108,0.0,AA,Fraud and White-Collar Crimes,12.0,2020,3,5,27,4,4,3.2188758248682006
3700    VALLEYBRINK                  RD,34.1166,-118.2652,11,1123,1,0,,,101,0.0,IC,Property Crimes,6.0,2020,10,0,13,1,1,4.976733742420574
6400    SYLMAR                       AV,34.1867,-118.4465,9,926,1,31,M,B,108,0.0,IC,Property Crimes,16.0,2020,12,2,27,6,6,4.290459441148391
400 W  47TH                         ST,34.001,-118.2815,12,1209,2,36,F,H,501,400.0,AO,Violent Crimes,23.0,2020,12,6,12,5,6,3.2188758248682006
1300    MCDONALD                     AV,33.7887,-118.2717,5,532,2,25,F,H,501,0.0,IC,Fraud and White-Collar Crimes,12.0,2020,11,0,10,5,2,6.315358001522335
FENWICK,34.2503,-118.4112,16,1653,2,39,M,O,239,511.0,IC,Fraud and White-Collar Crimes,13.5,2020,5,1,4,0,4,3.2188758248682006
300 N  NEW HAMPSHIRE                AV,34.0763,-118.2932,2,221,2,32,F,H,502,400.0,IC,Violent Crimes,19.0,2020,10,4,30,4,6,0.0
1100    VINE                         ST,34.0908,-118.3266,6,666,2,36,F,B,503,0.0,IC,Fraud and White-Collar Crimes,18.5,2020,1,4,1,2,1,3.8918202981106265
900 W  50TH                         PL,33.997,-118.2886,12,1207,1,0,,,101,0.0,IC,Property Crimes,10.0,2020,9,2,6,6,1,5.484796933490655
1000 W  15TH                         ST,33.7308,-118.299,5,563,1,57,M,W,501,0.0,IC,Property Crimes,23.5,2020,9,5,10,3,3,3.8918202981106265
7TH,34.0446,-118.2507,1,164,2,24,M,W,103,400.0,IC,Violent Crimes,16.833333333333332,2020,4,3,16,3,4,0.0
WILSHIRE                     BL,34.0579,-118.2759,2,245,1,41,M,W,109,0.0,IC,Property Crimes,22.0,2020,8,0,1,0,2,7.522400231387125
L                            ST,33.786,-118.2808,5,514,1,41,M,H,101,506.0,IC,Violent Crimes,22.0,2020,10,2,13,1,6,5.262690188904886
100 W  60TH                         ST,33.9852,-118.2739,13,1383,2,50,F,H,501,400.0,JA,Violent Crimes,8.5,2020,1,0,13,0,1,0.0
1600 N  POINSETTIA                   PL,34.0998,-118.3479,6,643,1,85,F,W,502,0.0,IC,Property Crimes,17.5,2020,5,4,14,3,6,5.8888779583328805
7TH                          ST,34.0487,-118.2588,1,152,2,36,M,H,101,500.0,AA,Violent Crimes,23.5,2020,3,5,14,5,7,0.0
95TH                         ST,33.9501,-118.2827,18,1821,1,40,M,H,101,0.0,IC,Property Crimes,22.0,2020,11,6,21,5,4,3.2188758248682006
21900    VANOWEN                      ST,34.1938,-118.6037,21,2156,1,50,M,W,404,0.0,IC,Property Crimes,13.183333333333334,2020,8,5,8,5,1,0.0
23200    CANZONET                     ST,34.1665,-118.6364,21,2172,1,57,M,W,101,0.0,IC,Property Crimes,21.0,2020,11,4,17,5,3,6.705639094860003
7400    HASKELL                      AV,34.2074,-118.4794,10,1018,1,40,M,B,502,0.0,AO,Property Crimes,12.0,2020,1,4,22,2,1,3.8918202981106265
200 E  AVENUE 26,34.0765,-118.2144,4,415,1,43,M,A,101,500.0,AO,Violent Crimes,17.916666666666668,2020,1,0,6,0,4,0.0
700 E  51ST                         ST,33.9966,-118.2629,13,1363,1,30,M,B,501,400.0,IC,Property Crimes,13.5,2020,11,0,16,0,5,0.0
3600 S  LA BREA                      AV,34.0199,-118.3608,3,343,2,19,X,X,602,0.0,IC,Fraud and White-Collar Crimes,19.0,2020,11,4,13,4,5,0.0
1900 S  SHENANDOAH                   ST,34.0418,-118.3848,8,889,1,43,F,W,108,0.0,IC,Property Crimes,13.75,2020,12,5,5,5,3,5.1298987149230735
8200 N  SEPULVEDA                    PL,34.22,-118.4662,19,1993,1,32,M,B,108,102.0,IC,Property Crimes,0.6666666666666666,2020,9,4,25,4,6,0.0
4100    COLFAX                       AV,34.1434,-118.3876,15,1583,2,24,F,O,122,0.0,IC,Property Crimes,8.0,2020,8,6,28,4,2,3.8918202981106265
200    LAKE SHORE                   TR,34.0644,-118.2609,2,237,1,29,F,O,121,0.0,IC,Property Crimes,12.5,2020,7,4,30,3,3,3.2188758248682006
18400 S  MARIPOSA                     AV,33.8634,-118.2982,5,501,2,32,M,W,104,0.0,IC,Other Crimes,3.0833333333333335,2020,5,2,20,2,3,0.0
BEVERLY,34.0726,-118.3393,7,727,2,34,M,W,203,0.0,IC,Fraud and White-Collar Crimes,0.016666666666666666,2020,12,1,26,0,2,6.762729506931879
17500    CORINTHIAN                   DR,34.1571,-118.5142,10,1077,2,56,M,H,501,0.0,IC,Fraud and White-Collar Crimes,21.433333333333334,2020,3,6,28,5,2,3.2188758248682006
900 N  EL CENTRO                    AV,34.0871,-118.3244,6,656,1,29,F,W,101,0.0,IC,Property Crimes,21.25,2020,7,0,25,5,4,3.8918202981106265
600 W  7TH                          ST,34.0491,-118.2558,1,152,1,67,M,W,210,0.0,IC,Property Crimes,16.5,2020,1,3,8,2,3,3.2188758248682006
CORONADO,34.074,-118.2724,2,216,1,36,M,H,158,223.0,IC,Property Crimes,18.0,2020,12,3,10,3,10,0.0
1400 E  25TH                         ST,34.0172,-118.2442,13,1327,1,28,M,H,101,0.0,IC,Property Crimes,10.0,2020,9,2,15,1,2,3.2188758248682006
3800    COUNTRY CLUB                 DR,34.0514,-118.3206,7,759,1,67,M,B,504,0.0,IC,Property Crimes,4.166666666666667,2020,6,2,15,0,3,3.8918202981106265
00    WORLD                        WY,33.9442,-118.3984,14,1494,2,12,F,H,101,400.0,AA,Crimes against Persons,15.0,2020,9,5,5,5,2,0.0
11800 S  MAIN                         ST,33.9265,-118.2739,18,1862,1,24,F,B,203,102.0,IC,Violent Crimes,14.166666666666666,2020,6,1,9,1,4,0.0
6600    8TH                          AV,33.9821,-118.3318,12,1241,1,0,,,101,0.0,IC,Property Crimes,14.5,2020,12,4,16,2,1,3.8918202981106265
21800    OXNARD                       ST,34.1792,-118.603,21,2177,1,36,F,B,503,400.0,AA,Property Crimes,1.1666666666666667,2020,3,5,21,5,5,0.0
19100    NAPA                         ST,34.2264,-118.5492,17,1793,2,21,M,W,101,0.0,IC,Property Crimes,17.0,2020,7,3,9,3,2,0.0
24000    KITTRIDGE                    ST,34.1912,-118.6489,21,2141,1,60,F,W,707,0.0,IC,Property Crimes,15.0,2020,5,5,8,4,2,3.2188758248682006
12800    KAMLOOPS                     ST,34.2554,-118.4115,16,1653,2,10,F,H,501,400.0,AO,Crimes against Persons,6.0,2021,3,1,1,1,4,8.420021279663963
11100    DE HAVEN                     AV,34.272,-118.4113,16,1623,2,33,F,H,122,0.0,IC,Property Crimes,8.0,2020,6,1,16,1,2,0.0
400    SOLANO                       AV,34.071,-118.2302,1,105,1,0,,,101,0.0,IC,Property Crimes,17.5,2020,5,4,21,3,1,3.2188758248682006
100 E  COLDEN                       AV,33.9492,-118.2739,18,1822,2,13,F,H,501,0.0,IC,Violent Crimes,22.0,2020,2,0,22,5,5,3.8918202981106265
1100 S  LOS ANGELES                  ST,34.0384,-118.2571,1,185,1,39,M,O,101,0.0,IC,Property Crimes,20.75,2020,2,4,1,5,5,4.976733742420574
22100    BURBANK                      BL,34.172,-118.6076,21,2175,2,37,F,H,502,0.0,IC,Fraud and White-Collar Crimes,19.0,2020,12,6,8,1,2,5.666426688112432
1600 E  108TH                        ST,33.9378,-118.2462,18,1837,1,0,X,X,203,0.0,IC,Property Crimes,5.75,2020,4,1,14,1,2,0.0
20600    VANOWEN                      ST,34.1938,-118.5823,21,2157,2,26,M,F,123,0.0,IC,Property Crimes,19.5,2020,5,5,26,6,2,4.976733742420574
700    ECHO PARK                    AV,34.0711,-118.2599,2,218,2,27,F,H,109,400.0,AO,Violent Crimes,19.75,2020,11,0,2,0,6,0.0
STANFORD,34.0408,-118.2428,1,157,1,64,F,W,102,308.0,AA,Violent Crimes,19.25,2020,4,3,15,2,6,3.2188758248682006
9900    TAMPA                        AV,34.25,-118.5536,17,1765,1,0,X,X,720,0.0,IC,Property Crimes,21.0,2020,9,2,8,1,1,3.2188758248682006
9500    RESEDA                       BL,34.2427,-118.5361,17,1767,2,0,X,X,104,102.0,IC,Crimes against Public Order,23.666666666666668,2020,7,4,10,4,5,0.0
300 S  AVENUE 52,34.1027,-118.1961,4,403,1,14,F,H,501,400.0,AA,Violent Crimes,23.0,2020,9,5,3,3,8,3.8918202981106265
1800 W  30TH                         ST,34.0273,-118.3066,3,337,2,79,F,H,501,400.0,AO,Violent Crimes,12.0,2020,8,6,1,2,4,6.645090969505644
400 S  FIGUEROA                     ST,34.0542,-118.2566,1,141,2,0,,,203,0.0,IC,Fraud and White-Collar Crimes,16.333333333333332,2020,7,3,17,2,1,6.762729506931879
BAKMAN                       AV,34.163,-118.3774,15,1555,1,62,F,W,101,0.0,IC,Property Crimes,12.0,2020,12,1,12,5,1,4.290459441148391
6200    DE SOTO                      AV,34.1833,-118.5899,21,2158,1,31,M,W,707,0.0,IC,Property Crimes,13.5,2020,6,0,26,4,1,4.290459441148391
1400    CHAUTAUQUA                   BL,34.0542,-118.5214,8,802,1,91,F,O,203,0.0,IC,Property Crimes,12.0,2021,1,1,20,5,4,8.571870752706934
400 N  AVENUE 52,34.1107,-118.2027,11,1137,2,40,F,H,502,400.0,AA,Violent Crimes,12.5,2020,2,2,4,1,5,3.2188758248682006
7TH,34.0401,-118.2459,1,157,2,26,F,B,102,400.0,IC,Violent Crimes,7.5,2020,12,0,14,0,10,0.0
6300    DE SOTO                      AV,34.1847,-118.5886,21,2158,1,34,F,O,502,0.0,IC,Property Crimes,10.0,2021,1,5,26,3,2,6.790097235513905
300 E  CENTURY                      BL,33.9456,-118.2695,18,1823,2,45,M,H,122,302.0,AA,Violent Crimes,4.5,2020,2,1,25,1,7,0.0
200 W  2ND                          ST,33.7424,-118.2813,5,564,2,34,F,B,502,0.0,AO,Property Crimes,17.0,2020,2,1,17,0,4,3.2188758248682006
1200 E  7TH                          ST,34.0374,-118.242,13,1307,2,41,M,H,102,0.0,AO,Property Crimes,12.166666666666666,2020,2,5,15,5,2,0.0
62ND,33.9625,-118.4531,14,1472,2,26,F,W,102,400.0,AO,Violent Crimes,7.333333333333333,2020,5,3,14,3,2,0.0
4900    BELOIT                       AV,33.999,-118.4035,14,1459,1,61,M,W,104,0.0,IC,Property Crimes,22.833333333333332,2020,5,3,7,3,2,0.0
21ST,33.7252,-118.2968,5,585,2,20,F,W,101,400.0,IC,Violent Crimes,4.0,2020,6,4,12,4,6,0.0
22200    BASSETT                      ST,34.1954,-118.6136,21,2145,2,42,M,W,501,0.0,IC,Fraud and White-Collar Crimes,10.0,2020,10,4,23,2,2,6.790097235513905
15600    SHERMAN                      WY,34.2013,-118.4743,10,1019,2,12,F,H,122,400.0,AO,Crimes against Persons,22.75,2020,11,1,6,6,8,7.5480289699350145
13300    REEDLEY                      ST,34.2259,-118.4229,19,1988,1,44,M,W,101,0.0,IC,Property Crimes,0.5,2020,10,6,23,4,3,3.8918202981106265
700 N  GRAMERCY                     PL,34.0835,-118.3124,6,677,2,27,M,H,502,400.0,IC,Violent Crimes,0.75,2020,3,4,20,4,5,0.0
20500 W  VENTURA                      BL,34.1685,-118.5777,21,2189,2,26,F,B,502,400.0,AO,Violent Crimes,12.25,2020,9,6,13,6,2,0.0
23300 S  WESTERN                      AV,33.8144,-118.3088,5,508,1,0,,,101,0.0,IC,Property Crimes,20.0,2020,8,4,27,3,1,3.2188758248682006
5900    BEEMAN                       AV,34.1776,-118.4073,15,1531,1,36,F,W,501,0.0,IC,Property Crimes,0.08333333333333333,2020,9,5,26,5,1,0.0
2400    BOULDER                      ST,34.0495,-118.2061,4,457,1,17,M,H,502,207.0,JA,Crimes against Public Order,16.333333333333332,2020,4,6,19,6,4,0.0
700 S  BURLINGTON                   AV,34.0547,-118.2737,2,266,2,34,F,H,122,0.0,IC,Property Crimes,14.0,2021,1,0,31,3,3,4.574710978503383
300 N  SAN FERNANDO                 RD,34.0768,-118.2227,4,411,2,31,F,H,101,400.0,IC,Violent Crimes,6.0,2020,6,3,11,3,5,0.0
10800    COMPTON                      AV,33.9383,-118.2494,18,1836,1,0,,,101,0.0,IC,Property Crimes,20.0,2020,11,3,4,2,1,3.2188758248682006
11200    VICTORY                      BL,34.1867,-118.3753,15,1527,2,30,M,H,501,400.0,AA,Violent Crimes,10.75,2020,8,1,11,1,3,0.0
9700 N  SEPULVEDA                    BL,34.2464,-118.4674,19,1962,1,0,,,101,0.0,IC,Property Crimes,7.5,2020,9,3,17,3,1,0.0
1700 S  FAIRFAX                      AV,34.0483,-118.372,7,762,1,0,,,101,0.0,IC,Property Crimes,0.016666666666666666,2020,1,0,27,0,1,0.0
700 E  49TH                         ST,33.9986,-118.2632,13,1363,1,76,M,B,218,0.0,IC,Property Crimes,15.683333333333334,2020,11,6,4,2,2,4.574710978503383
1100 W  57TH                         ST,33.9905,-118.2941,12,1215,2,22,F,B,501,0.0,IC,Fraud and White-Collar Crimes,6.0,2020,7,4,1,4,1,7.68937110752969
BOSTON                       ST,34.0665,-118.2529,2,219,1,0,,,101,0.0,IC,Property Crimes,14.0,2020,2,1,24,0,1,3.2188758248682006
1100 W  MARTIN LUTHER KING JR        BL,34.0145,-118.2937,3,379,2,18,F,B,121,400.0,AO,Violent Crimes,15.0,2020,2,6,21,4,3,3.8918202981106265
4700    MORSE                        AV,34.1558,-118.416,9,979,2,44,M,O,121,111.0,IC,Crimes against Public Order,0.3333333333333333,2020,1,4,10,4,4,0.0
7800    VAN NUYS                     BL,34.2153,-118.4409,19,1998,2,27,F,H,401,400.0,AO,Violent Crimes,8.0,2020,11,6,29,6,2,0.0
300 W  49TH                         ST,33.9983,-118.2802,13,1361,2,18,F,H,501,511.0,AO,Crimes against Public Order,21.0,2021,1,1,17,4,3,9.086249986745132
5300    NEWCASTLE                    AV,34.1667,-118.5244,10,1065,2,51,F,W,507,0.0,AA,Property Crimes,17.0,2020,12,2,21,0,4,5.37989735354046
5300 N  SEPULVEDA                    BL,34.1667,-118.4662,9,952,1,55,M,W,123,0.0,IC,Property Crimes,2.5833333333333335,2020,3,5,13,4,1,3.2188758248682006
1800 S  GRAMERCY                     PL,34.0408,-118.313,20,2081,1,0,,,101,0.0,IC,Property Crimes,10.5,2020,11,1,24,1,1,0.0
7TH                          PL,34.0336,-118.23,13,1309,1,0,,,108,0.0,IC,Property Crimes,15.0,2020,4,3,22,2,1,3.2188758248682006
6400 W  87TH                         ST,33.9585,-118.4004,14,1485,2,79,M,W,101,400.0,IC,Violent Crimes,17.0,2020,9,2,23,2,1,0.0
6TH,33.7613,-118.2819,5,523,2,42,F,H,101,400.0,AA,Violent Crimes,16.75,2020,9,2,9,2,10,0.0
4900    WILSHIRE                     BL,34.0621,-118.3365,7,738,1,0,,,101,0.0,IC,Property Crimes,11.75,2020,2,2,18,1,1,3.2188758248682006
6000 W  75TH                         ST,33.9732,-118.3892,14,1467,1,46,F,W,501,0.0,IC,Property Crimes,19.483333333333334,2020,2,2,5,2,2,0.0
1000 E  MARTIN LUTHER KING JR        BL,34.011,-118.2575,13,1343,1,0,,,101,0.0,IC,Property Crimes,8.75,2020,12,1,8,1,1,0.0
19000    ARCHWOOD                     ST,34.1921,-118.5469,10,1023,2,25,M,H,102,400.0,IC,Violent Crimes,16.75,2020,4,3,30,3,4,0.0
2100    2ND                          AV,34.038,-118.3189,7,789,2,52,F,B,108,0.0,IC,Other Crimes,17.5,2020,5,6,16,5,3,3.2188758248682006
200 S  ALEXANDRIA                   AV,34.069,-118.2979,20,2016,2,42,F,H,101,400.0,IC,Violent Crimes,10.5,2020,7,4,3,4,8,0.0
8500    FOOTHILL                     BL,34.2724,-118.3243,16,1617,1,37,M,W,301,102.0,IC,Violent Crimes,22.75,2020,11,6,22,6,9,0.0
300 E  119TH                        ST,33.9247,-118.2696,18,1863,1,45,M,H,101,500.0,IC,Property Crimes,6.0,2020,1,3,22,2,5,3.2188758248682006
900 N  WESTERN                      AV,33.7501,-118.3092,5,541,1,49,M,W,103,304.0,IC,Violent Crimes,2.0,2020,10,5,17,5,5,0.0
3500 S  NORMANDIE                    AV,34.0242,-118.3002,3,357,2,39,M,H,501,0.0,IC,Crimes against Public Order,19.5,2020,9,3,10,3,1,0.0
1000    BLAINE                       ST,34.0474,-118.2701,2,279,2,42,F,H,102,0.0,AO,Crimes against Public Order,18.5,2020,5,5,2,5,3,0.0
ENCINO                       AV,34.1937,-118.5142,10,1037,1,0,,,101,0.0,IC,Property Crimes,20.0,2020,5,6,2,5,1,3.2188758248682006
2400 S  VICTORIA                     AV,34.0332,-118.3362,3,307,2,52,F,B,502,400.0,IC,Violent Crimes,7.0,2020,9,2,16,2,5,0.0
5200    RIVERTON                     AV,34.1649,-118.3654,15,1548,2,38,F,H,122,0.0,IC,Property Crimes,20.0,2020,8,5,7,4,1,3.2188758248682006
3000    SAN MARINO                   ST,34.0545,-118.2944,20,2056,1,0,,,101,0.0,IC,Property Crimes,21.5,2020,12,1,30,0,1,3.2188758248682006
10000 S  WESTERN                      AV,33.9455,-118.309,12,1283,2,17,F,H,501,400.0,IC,Violent Crimes,0.016666666666666666,2020,6,2,20,0,4,6.963189985870238
MAIN                         ST,34.0273,-118.2671,13,1321,1,36,M,H,101,311.0,IC,Violent Crimes,9.0,2020,11,3,19,3,8,0.0
CANOGA,34.2246,-118.5976,21,2105,1,28,M,H,101,500.0,IC,Violent Crimes,1.25,2020,3,0,9,0,3,0.0
HOOVER,34.0284,-118.284,3,328,1,0,,,101,0.0,IC,Property Crimes,1.0,2020,12,4,10,3,1,3.2188758248682006
AUCKLAND,34.1722,-118.3604,15,1549,1,0,,,101,0.0,IC,Property Crimes,1.0,2020,4,6,5,6,1,0.0
108TH                        ST,33.9383,-118.2542,18,1834,1,0,,,101,0.0,IC,Property Crimes,21.5,2020,9,3,2,2,1,3.2188758248682006
18100    CHASE                        ST,34.2246,-118.5273,17,1794,1,61,F,B,504,0.0,AO,Property Crimes,13.0,2020,6,1,8,0,4,3.2188758248682006
3200 W  8TH                          ST,34.0577,-118.2981,20,2045,1,68,M,O,707,0.0,IC,Property Crimes,14.916666666666666,2020,7,2,20,0,5,3.8918202981106265
1200 N  SYCAMORE                     AV,34.0926,-118.3428,6,663,2,32,F,B,502,511.0,AA,Crimes against Public Order,23.5,2020,11,1,9,0,3,3.2188758248682006
1200    SPENCE                       ST,34.0205,-118.2024,4,499,2,32,F,H,504,400.0,AO,Violent Crimes,11.0,2020,5,4,1,4,5,0.0
600    WORLD                        WY,33.9429,-118.4032,14,1494,1,56,F,O,102,500.0,IC,Property Crimes,11.833333333333334,2020,7,2,29,2,3,0.0
5000    WILSHIRE                     BL,34.0621,-118.3385,7,738,2,37,M,O,501,0.0,IC,Fraud and White-Collar Crimes,13.666666666666666,2020,9,1,8,1,2,0.0
23200    VANOWEN                      ST,34.1937,-118.6327,21,2142,2,44,F,O,501,400.0,AA,Violent Crimes,0.9,2020,6,2,17,2,4,0.0
4400    BEAGLE                       ST,34.0805,-118.1906,4,427,2,58,M,H,501,0.0,IC,Property Crimes,18.833333333333332,2020,2,2,5,2,1,0.0
1500 N  POINSETTIA                   PL,34.098,-118.3479,6,643,1,28,M,O,123,0.0,IC,Property Crimes,12.0,2020,11,6,6,4,4,3.8918202981106265
5TH,34.0442,-118.2439,1,156,2,0,X,X,102,102.0,IC,Crimes against Public Order,2.9166666666666665,2020,3,2,11,2,5,0.0
18400    HART                         ST,34.1975,-118.5348,10,1025,1,30,M,B,239,102.0,AO,Crimes against Public Order,17.833333333333332,2020,7,1,14,1,3,0.0
3400 W  3RD                          ST,34.0728,-118.2878,20,2019,2,58,M,W,402,400.0,AO,Violent Crimes,8.25,2020,2,3,16,6,3,4.574710978503383
FEDORA,34.0527,-118.2979,20,2055,2,58,M,K,102,511.0,IC,Crimes against Public Order,19.5,2020,11,3,26,3,3,0.0
1800    GREENFIELD                   AV,34.0484,-118.4411,8,835,1,65,F,W,123,0.0,IC,Property Crimes,22.0,2020,1,4,26,6,4,4.795790545596741
5200    RIGOLETTO                    ST,34.1647,-118.6243,21,2173,2,35,F,W,502,0.0,AO,Crimes against Public Order,10.366666666666667,2020,9,3,17,3,3,0.0
18900    GAULT                        ST,34.1993,-118.5447,10,1023,1,0,,,101,0.0,IC,Property Crimes,18.0,2020,8,4,13,3,1,3.2188758248682006
300 E  GAGE                         AV,33.9857,-118.2628,13,1385,2,70,M,H,501,400.0,IC,Violent Crimes,21.5,2020,6,0,29,0,1,0.0
4900    LINSCOTT                     PL,34.0198,-118.3522,3,361,1,32,M,B,707,0.0,IC,Property Crimes,22.0,2023,3,0,20,4,6,10.176601523624978
1800 S  LA CIENEGA                   BL,34.0425,-118.3818,8,889,1,0,X,X,203,400.0,IC,Property Crimes,20.25,2020,7,5,18,5,7,0.0
12800 W  VENTURA                      BL,34.1448,-118.4115,15,1591,2,36,M,W,108,0.0,AO,Crimes against Public Order,16.666666666666668,2020,10,4,7,2,1,3.8918202981106265
2900    HAUSER                       BL,34.0271,-118.3648,3,311,2,16,F,B,501,0.0,IC,Violent Crimes,12.0,2020,11,1,1,2,7,8.616314282284044
KIOWA                        AV,34.0511,-118.4626,8,832,1,40,F,O,507,0.0,IC,Property Crimes,22.5,2020,10,1,2,4,2,6.07073772800249
7000    STANFORD                     AV,33.9801,-118.263,13,1395,2,67,M,W,213,0.0,IC,Property Crimes,15.5,2020,10,0,15,3,1,5.579729825986222
