Location,Latitude,Longitude,Area_ID,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Weapon_Used_Code,Status,Crime_Category,Hours_Occurred,Reported_Year,Reported_Month,Reported_Weekday,Occurred_Day,Occurred_Weekday,Time_Difference_Log
400 S  OXFORD                       AV,34.0653,-118.3079,20,2023,1,0913 0344 1300,58,M,H,108,0.0,IC,0,31.8,2020,10,3,8,3,0.0
MAPLE                        AV,34.0336,-118.2581,13,1313,1,1822 0344,28,F,O,101,0.0,IC,0,35.3775,2020,1,6,11,5,3.2188758248682006
LOS ANGELES                  ST,34.0556,-118.2389,1,111,1,2004 0334 0411 0445 1218 1222 1814 2000 2007 0913,42,F,B,102,216.0,AO,1,35.245000000000005,2020,6,1,2,1,0.0
5600    STROHM                       AV,34.1722,-118.3594,15,1539,1,0344 1609,51,F,H,108,0.0,IC,0,53.0,2020,6,0,7,6,3.2188758248682006
1300 W  37TH                         DR,34.0191,-118.2977,3,357,1,0344 0385 1251 1300 1606 1822 0329 1309,27,F,O,101,0.0,IC,0,55.65,2022,9,0,11,4,9.772524288017316
11200    SANTA MONICA                 BL,34.0452,-118.453,8,853,2,447,40,M,H,203,500.0,IC,1,49.1575,2020,4,1,7,1,0.0
3400 S  VINTON                       AV,34.0283,-118.4084,14,1407,2,2004 1402,0,X,X,101,0.0,IC,5,1.06,2020,3,3,5,3,0.0
400 S  ST ANDREWS                   PL,34.0672,-118.3116,20,2022,1,0417 1402 0334 0421 0445 0358 0432 0443 0419 0913,20,F,H,502,207.0,AA,1,27.825,2020,4,3,30,3,0.0
20500 W  VENTURA                      BL,34.1685,-118.5777,21,2189,1,1100 1310 1202 0216 1822,73,F,W,101,103.0,AO,1,29.68,2020,8,6,30,6,0.0
7700    DENIVELLE                    RD,34.2723,-118.3011,16,1619,2,1822 0377 1202 0930,64,M,W,501,0.0,IC,3,34.5825,2020,9,1,20,6,3.8918202981106265
200 E  29TH                         ST,34.022,-118.2691,13,1331,2,1300 0329 0345 0202,41,M,H,122,0.0,IC,0,31.8,2020,4,0,6,0,0.0
500 S  HOBART                       BL,34.0636,-118.3053,20,2024,1,1822 0342 0344 0358 1607,0,X,X,502,400.0,IC,0,13.780000000000001,2020,6,4,26,4,0.0
7900    RESEDA                       BL,34.2148,-118.5404,10,1003,1,1822 1300 1402 0329,34,M,H,101,0.0,IC,0,53.0,2020,10,5,22,3,3.8918202981106265
1300 N  EDGEMONT                     ST,34.0954,-118.2961,11,1151,1,,0,,,101,0.0,IC,0,31.8,2020,10,2,4,6,4.290459441148391
10500    STANFORD                     AV,33.9401,-118.263,18,1834,1,1607 1601 1822 0329 0344 0321,33,M,B,501,500.0,AO,0,26.5,2020,12,1,18,2,5.746203190540153
8300    POOLE                        AV,34.2223,-118.3629,16,1676,2,1501 0421 1309,35,F,W,501,511.0,IC,2,54.192499999999995,2020,12,6,26,5,3.2188758248682006
8400    NOBLE                        AV,34.2227,-118.4611,19,1983,2,0913 0416 0417 2000 1813,47,F,H,501,400.0,AO,1,31.8,2020,10,0,26,5,5.37989735354046
6500    TOPANGA CANYON               BL,34.1886,-118.6059,21,2156,1,325,33,M,X,404,0.0,AA,0,41.022,2020,1,3,30,3,0.0
BROADWAY,33.9528,-118.2782,18,1802,2,0400 0913 2033 0416 0446,27,F,B,101,400.0,IC,1,61.851,2021,12,4,10,3,9.078065332666364
10600 S  MAIN                         ST,33.9398,-118.2739,18,1832,2,0913 0361 0431 0342,23,M,H,101,400.0,IC,1,55.65,2020,6,1,10,4,7.482681828154651
3400 N  BROADWAY,34.0738,-118.2052,4,424,1,0444 0344 1822,0,M,X,203,400.0,IC,0,29.945,2020,3,4,6,4,0.0
100 N  ROBERTSON                    BL,34.0753,-118.3838,7,721,1,0325 0945 0216 0444,19,M,O,203,400.0,IC,0,43.459999999999994,2020,12,6,20,6,0.0
5800    6TH                          AV,33.9891,-118.3235,12,1232,1,0344 1300 1606 1822,36,F,H,104,0.0,IC,0,4.0545,2020,5,5,23,5,0.0
23900    WESTERN                      AV,33.8072,-118.3076,5,508,1,0342 0344 0385 1300 0209 0416 1313,46,M,H,101,400.0,IC,0,49.025,2020,7,2,29,2,0.0
1200 S  SOTO                         ST,34.0233,-118.2222,4,491,2,0913 1258 1906,12,F,H,720,511.0,JO,2,35.245000000000005,2020,1,2,22,2,0.0
4300 W  SLAUSON                      AV,33.9889,-118.35,12,1231,1,1300 1606 0344,22,F,B,108,0.0,IC,0,32.9925,2020,2,2,5,2,0.0
OLYMPIC,34.042,-118.259,1,182,2,0416 1822,33,F,H,102,400.0,IC,1,45.4475,2020,12,1,22,1,0.0
1900 S  CORNING                      ST,34.0432,-118.3796,8,889,2,319,29,M,W,121,511.0,AO,2,26.5,2020,4,2,8,2,0.0
ARLINGTON                    AV,34.0108,-118.3182,3,374,1,1822 1202 0431 2005,68,M,B,102,512.0,IC,1,50.35,2020,10,2,28,2,0.0
13400    HUBBARD                      ST,34.3125,-118.4246,19,1907,1,,0,,,101,0.0,IC,0,40.545,2020,5,3,27,2,3.2188758248682006
BUNKER HILL                  AV,34.0626,-118.2445,1,111,1,0430 1822 1309,30,M,H,101,106.0,IC,1,58.459,2020,6,3,4,3,0.0
500 N  SPRING                       ST,34.0571,-118.2405,1,111,2,0329 1307,55,M,H,122,0.0,IC,0,38.2925,2020,7,3,9,3,0.0
12000    GOSHEN                       AV,34.0472,-118.4655,8,831,2,329,64,F,W,501,0.0,IC,0,42.4,2020,10,3,17,5,4.795790545596741
1100    BROAD                        AV,33.7849,-118.2612,5,517,1,344,70,M,H,501,0.0,IC,0,34.45,2020,12,3,10,3,0.0
13600    SHERMAN                      WY,34.205,-118.4339,9,909,1,,0,,,123,0.0,IC,0,54.192499999999995,2020,4,3,29,2,3.2188758248682006
2000    BEVERLY                      BL,34.066,-118.2688,2,236,1,0344 0385,37,M,H,101,0.0,IC,0,31.8,2020,8,4,21,4,5.1298987149230735
1200 S  GRAMERCY                     PL,34.0472,-118.313,20,2062,2,0329 0448 1814 2000,26,F,H,102,400.0,AO,1,8.48,2020,6,6,21,6,0.0
5TH,34.0449,-118.2458,1,155,1,0906 1414 2004 1218 1822 2034 0417,50,M,H,101,400.0,AA,1,2.7825,2020,4,2,1,2,0.0
1600 S  ST ANDREWS                   PL,34.0418,-118.3134,20,2081,2,0913 2038,25,F,H,502,0.0,AA,2,27.560000000000002,2020,12,3,3,3,0.0
9900    VARIEL                       AV,34.25,-118.593,17,1752,2,2000 0913 0444 1814 0429,46,F,H,501,400.0,AO,1,40.545,2020,10,6,4,6,0.0
16800    HALSTED                      ST,34.2445,-118.4981,17,1776,1,1606 0344 1202,62,M,B,501,0.0,IC,0,55.65,2020,6,2,2,1,3.2188758248682006
4000 W  58TH                         PL,33.988,-118.3439,12,1231,1,0385 0344 1822 1309,37,M,B,101,0.0,IC,0,10.6,2020,3,1,3,1,0.0
1600    ABBOT KINNEY                 BL,33.9934,-118.46,14,1432,1,1606 0344 2004,0,X,X,405,0.0,IC,0,45.845,2020,9,2,9,2,0.0
4400 W  4TH                          ST,34.0672,-118.3128,20,2022,1,0344 1309,23,M,O,502,0.0,IC,0,32.595,2020,1,0,27,0,0.0
11600    BURBANK                      BL,34.1722,-118.3846,15,1547,2,0400 0416 0356 2004 1212,0,M,W,101,400.0,IC,1,3.1799999999999997,2020,7,3,23,3,0.0
600 E  5TH                          ST,34.0438,-118.2416,1,148,1,2000 1218 1814 0416 0913 0408 1414 2004,40,F,W,516,400.0,AO,1,15.9,2020,12,1,15,1,0.0
900 S  NORMANDIE                    AV,34.0545,-118.2999,20,2045,2,0913 0361 0416,41,M,H,502,500.0,AO,1,42.4,2020,11,0,9,0,0.0
3500    WILSHIRE                     BL,34.0636,-118.3047,20,2024,1,,0,,,108,0.0,IC,0,40.545,2020,7,3,16,3,0.0
6400    LEXINGTON                    AV,34.0926,-118.3289,6,666,1,0913 0344 0444 1402,23,F,W,501,400.0,AO,0,14.31,2020,1,4,24,4,0.0
1300 E  48TH                         PL,33.9993,-118.2499,13,1365,1,0512 0527 0507 1300 1309 1402 1415 1409 0913,25,F,H,502,400.0,AO,1,7.95,2020,6,0,7,6,3.2188758248682006
4100    PALMWOOD                     DR,34.0137,-118.3435,3,363,2,0329 0913,34,F,B,501,500.0,AO,0,60.95,2020,4,6,5,6,0.0
11700    WILSHIRE                     BL,34.0491,-118.4614,8,842,1,0913 1810 0344,48,M,W,502,0.0,IC,0,31.8,2020,12,6,6,6,5.820082930352362
1400    GLENDALE                     BL,34.0797,-118.2601,11,1183,1,0416 1822 0906 0371,20,M,H,203,400.0,IC,1,50.879999999999995,2020,7,3,8,2,3.2188758248682006
5200    EL RIO                       AV,34.1415,-118.2161,11,1105,1,0385 0344,26,F,H,101,0.0,IC,0,41.313500000000005,2020,6,1,6,5,4.290459441148391
500 E  CHANNEL                      RD,34.034,-118.5121,8,824,1,0344 0386 1606 1822,48,M,I,101,0.0,IC,0,14.31,2020,3,5,3,1,4.574710978503383
900 S  ROBERTSON                    BL,34.0596,-118.3836,8,849,2,0421 0913,56,M,O,108,511.0,AO,2,38.425,2020,5,2,6,2,0.0
400 S  WESTERN                      AV,34.0672,-118.3091,20,2023,2,1822 0329,0,X,X,108,0.0,IC,0,21.2,2020,5,1,11,0,3.2188758248682006
13000    BORDEN                       AV,34.3061,-118.4414,19,1916,1,344,22,X,X,721,0.0,IC,0,37.1,2020,10,0,23,4,4.290459441148391
19400    COLLIER                      ST,34.1667,-118.5555,10,1061,2,1822 0928 0917,56,M,W,501,0.0,IC,3,29.68,2020,8,0,16,6,5.262690188904886
LA BREA,34.0962,-118.349,6,644,1,0400 0416 1822 1501,32,F,W,102,500.0,IC,1,45.845,2020,11,1,3,1,0.0
10400    SUNLAND                      BL,34.2598,-118.3274,16,1656,1,344,44,M,H,221,0.0,IC,0,37.1,2020,7,4,20,4,7.83241092718792
5600    VIRGINIA                     AV,34.0918,-118.3109,6,668,2,0400 0416 0913 0554,47,M,B,502,400.0,IC,1,54.059999999999995,2020,5,4,29,4,0.0
200 N  AVENUE 49,34.1048,-118.2043,11,1148,2,329,23,F,H,502,0.0,IC,0,29.68,2020,5,1,24,6,3.8918202981106265
8100    VANALDEN                     AV,34.2175,-118.5492,10,1001,2,0913 0444 0448 1815 0216 2035 1211,42,M,W,721,400.0,AA,1,29.282500000000002,2020,2,2,12,2,0.0
5800 S  OLIVE                        ST,33.9889,-118.2794,13,1381,1,344,0,M,H,108,0.0,IC,0,61.745000000000005,2020,8,5,31,4,3.2188758248682006
7000    ALABAMA                      AV,34.1974,-118.599,21,2146,2,2000 0416,19,F,H,502,400.0,AO,1,21.729999999999997,2020,12,1,8,1,0.0
800 E  84TH                         PL,33.962,-118.2608,12,1269,2,0100 0927,18,F,H,501,0.0,IC,3,47.7,2021,5,1,14,4,8.750366278367625
6800    INDEPENDENCE                 AV,34.1938,-118.5906,21,2157,1,0344 1402 1606,62,M,B,108,0.0,AA,0,42.93,2020,12,5,19,5,0.0
4300    MATILIJA                     AV,34.1485,-118.4341,9,989,1,,0,,,101,0.0,IC,0,6.095,2020,8,5,29,5,0.0
3RD                          AV,33.9954,-118.4745,14,1413,1,0400 0416 1218 1822 2004,35,F,O,102,221.0,IC,1,40.28,2020,11,1,24,1,0.0
10900    WEYBURN                      AV,34.0626,-118.4454,8,817,1,1606 0321 1822,0,X,X,203,0.0,IC,0,5.6975,2020,12,5,26,5,0.0
3100    OVERLAND                     AV,34.03,-118.4157,14,1406,2,1814 0443 1906,22,F,B,501,511.0,IC,2,37.4975,2021,1,1,19,5,6.61338421837956
800 W  82ND                         ST,33.9661,-118.2849,12,1266,1,2000 1814 0444 0344 0416 0913,40,F,B,502,400.0,AA,1,31.8,2020,6,0,15,0,0.0
8200    BEVERLY                      BL,34.0761,-118.3685,7,723,2,329,40,M,O,244,0.0,IC,0,9.1425,2020,7,1,7,1,0.0
4600    ENCINO                       AV,34.1544,-118.5134,10,1097,2,1822 0930,55,M,W,702,0.0,IC,3,29.15,2021,2,4,7,5,7.822845290279774
10800    MORRISON                     ST,34.1608,-118.3681,15,1557,2,2000,24,F,W,502,0.0,AA,2,0.1325,2020,12,6,27,6,0.0
12500    VAN NUYS                     BL,34.2781,-118.4056,16,1613,1,1402 1609,31,F,H,203,0.0,IC,0,16.695,2020,9,0,26,5,3.8918202981106265
600 S  SAN PEDRO                    ST,34.0421,-118.2469,1,166,1,0344 1202 1218 1822 0394,67,F,B,501,0.0,IC,0,31.8,2020,7,2,12,6,7.860570785538664
8800 S  HOOVER                       ST,33.9551,-118.287,18,1801,1,1822 0354,0,X,X,109,0.0,IC,0,34.45,2020,11,2,17,1,3.2188758248682006
700    WILSHIRE                     BL,34.0486,-118.2571,1,152,1,1802 0913 0527 0522 0537 0516 0400,23,F,H,203,400.0,IC,1,32.595,2021,3,1,1,5,9.191870855692521
1000 W  SEPULVEDA                    ST,33.7457,-118.3021,5,551,2,0913 0552 0400,6,F,W,501,500.0,AO,4,18.814999999999998,2020,9,6,12,5,3.2188758248682006
LARCHMONT                    BL,34.0817,-118.3237,7,719,1,1300 0344,34,M,W,101,0.0,IC,0,58.3,2020,4,0,25,5,3.8918202981106265
1000 W  22ND                         ST,34.035,-118.2811,3,308,1,1822 0342 0329 0344 0352 2004 1202,70,M,H,501,0.0,AA,0,19.7425,2020,7,3,2,3,0.0
NAPA,34.2265,-118.5317,17,1794,2,416,53,F,H,101,400.0,IC,1,5.3,2020,6,5,11,3,3.8918202981106265
YARNELL                      ST,34.3213,-118.4792,19,1912,2,0416 1218 0429 1822,53,M,W,158,400.0,IC,1,55.65,2020,7,2,29,2,0.0
1300    MEADOWBROOK                  AV,34.0503,-118.3495,7,755,2,1501,40,M,O,501,0.0,AO,2,43.725,2020,5,6,10,6,0.0
300    WORLD                        WY,33.9449,-118.4061,14,1494,2,1822 0329,41,F,H,212,0.0,IC,0,26.6325,2020,11,2,4,2,0.0
POLK                         ST,34.3129,-118.4438,19,1902,1,,0,,,101,0.0,IC,0,8.745,2020,3,2,28,4,4.795790545596741
1400 S  WESTGATE                     AV,34.0444,-118.461,8,842,1,1822 0377 0930 0344,32,M,A,710,0.0,IC,0,40.545,2020,2,5,8,5,0.0
900 W  8TH                          ST,34.0479,-118.2612,1,161,2,,0,,,203,0.0,IC,3,50.4825,2020,9,4,1,2,7.353081920515432
20900    HART                         ST,34.1974,-118.5884,21,2147,2,2000 0447 0906 1814,50,F,H,501,500.0,IC,1,0.1325,2020,3,2,11,2,0.0
3800 W  27TH                         ST,34.0312,-118.3262,3,314,1,,0,,,101,0.0,IC,0,31.8,2020,2,4,27,3,3.2188758248682006
14700    JAGUAR                       ST,34.2666,-118.4545,19,1943,1,0344 1601,60,F,A,501,0.0,IC,0,47.7,2020,7,1,23,3,4.795790545596741
11200    DE GARMO                     AV,34.2736,-118.4145,16,1612,1,2000 0344 0334 1814 0913 0906,30,F,H,101,102.0,IC,0,53.0,2020,10,4,30,4,0.0
WILTON,34.0545,-118.3145,20,2062,1,1822 0342 0305 0302 0432 0337 0355 0344 1309 0420,24,M,A,102,102.0,IC,0,0.265,2020,3,5,14,5,0.0
14900    SATICOY                      ST,34.2085,-118.4586,9,904,2,0421 0443 1814 2000 0913,27,F,W,501,511.0,AO,2,42.4,2020,6,0,19,4,4.290459441148391
1700 W  MANCHESTER                   AV,33.96,-118.3068,12,1273,1,,0,,,101,0.0,IC,0,43.195,2020,5,5,1,4,3.2188758248682006
1300    ALLENFORD                    AV,34.0505,-118.4944,8,824,1,0321 0344 0346,47,F,W,501,0.0,IC,0,43.195,2020,7,3,1,2,3.2188758248682006
REDESDALE,34.0885,-118.2714,11,1171,1,385,33,F,O,101,0.0,IC,0,0.7949999999999999,2020,11,3,10,1,5.953243334287785
20400    DEVONSHIRE                   ST,34.2651,-118.582,17,1723,1,325,0,X,X,401,0.0,IC,0,19.4775,2020,10,5,3,5,0.0
ROSECRANS,33.9019,-118.2827,18,1871,2,1822 0416 0605,19,F,B,101,400.0,IC,1,40.545,2020,3,4,20,4,0.0
8700    CEDROS                       AV,34.2265,-118.4565,19,1984,2,2038 0561,60,M,H,502,0.0,IC,2,0.7949999999999999,2020,10,1,6,1,0.0
1400    ALLISON                      AV,34.0735,-118.2526,2,218,2,1810 0913 1501,46,M,W,501,0.0,AA,5,31.8,2020,6,0,12,4,4.290459441148391
1900 S  RIDGELEY                     DR,34.0398,-118.359,7,773,2,0421 1912 1822,34,M,H,501,511.0,IC,3,48.389,2020,10,1,27,1,0.0
VERMONT                      AV,33.96,-118.2919,12,1265,1,0344 1252 0444 0429 0302,60,F,H,102,205.0,AO,0,18.55,2020,1,6,5,6,0.0
1700 W  TEMPLE                       ST,34.0727,-118.2637,2,217,2,1822 0416 0446 0444 0447,37,F,O,701,400.0,AO,1,50.615,2020,9,2,23,2,0.0
1000 N  HIGHLAND                     AV,34.0889,-118.3386,6,663,2,1822 1609,0,X,X,403,500.0,AA,0,42.7975,2020,8,3,20,3,0.0
900 N  WILMINGTON                   BL,33.7897,-118.2787,5,514,1,1822,80,X,X,502,102.0,IC,2,32.7275,2020,11,3,26,3,0.0
800    ALPINE                       ST,34.0637,-118.244,1,111,1,1609 0344 0321 1307 0329 1822,33,M,H,101,0.0,IC,0,51.145,2020,5,3,6,2,3.2188758248682006
600 W  7TH                          ST,34.0473,-118.2566,1,162,2,2004 1218 1822 0305 0551 0448 0500 0531 0910,66,F,W,931,400.0,AA,1,13.3825,2020,8,1,4,1,0.0
CARTWRIGHT,34.1849,-118.3638,15,1529,1,,0,,,101,0.0,IC,0,37.895,2020,1,6,25,5,3.2188758248682006
LAUREL CANYON                BL,34.2469,-118.4195,16,1651,2,2000 2038 1309 0913,33,F,H,101,0.0,AO,2,45.05,2020,10,5,3,5,5.1298987149230735
POINSETTIA                   PL,34.0836,-118.3487,7,702,1,1300 1607 1601 0344,27,M,O,101,0.0,IC,0,55.65,2020,7,1,27,0,3.2188758248682006
9300    LAUREL CANYON                BL,34.237,-118.4116,16,1661,1,344,64,F,W,203,0.0,IC,0,32.065,2020,7,6,5,6,0.0
15100    DEVONSHIRE                   ST,34.2572,-118.4608,19,1954,1,,0,,,101,0.0,IC,0,40.28,2020,11,2,25,2,0.0
NEWCASTLE,34.1654,-118.5243,10,1065,1,1822 2032 0344,25,F,W,402,0.0,IC,0,47.8325,2020,5,6,22,2,6.398594934535208
5TH,34.0481,-118.2507,1,153,1,2004 1402 0431 1822,51,M,B,102,512.0,IC,1,42.5325,2020,4,0,13,0,0.0
SHERMAN                      WY,34.2234,-118.5932,21,2107,2,416,44,M,W,101,400.0,IC,1,37.4975,2020,6,6,14,6,0.0
5700 W  CENTURY                      BL,33.9454,-118.3821,14,1494,1,1820 0400 0416,23,M,H,212,400.0,IC,0,2.915,2020,12,1,8,1,0.0
14500    HART                         ST,34.1976,-118.4487,9,914,1,1606 0344,53,M,H,104,0.0,IC,0,45.845,2020,4,4,2,3,3.2188758248682006
7300    FOOTHILL                     BL,34.25,-118.2909,16,1668,1,344,50,F,F,108,0.0,IC,0,26.5,2020,3,6,21,5,3.2188758248682006
11100 S  BROADWAY,33.9348,-118.2781,18,1842,1,0329 1814 0913 0416 0448 2000,99,F,B,501,400.0,AA,0,23.85,2020,2,6,9,6,0.0
8400    BEVERLY                      BL,34.0761,-118.3737,7,722,2,0416 0446 1822,53,F,O,108,400.0,IC,1,2.65,2020,12,0,7,0,0.0
5200    KESTER                       AV,34.1649,-118.4574,9,952,1,,0,,,123,0.0,IC,0,29.15,2020,12,2,7,0,3.8918202981106265
600 N  WESTMORELAND                 AV,34.0818,-118.288,2,212,1,,0,,,101,0.0,IC,0,53.0,2020,11,3,4,2,3.2188758248682006
21400    CHASE                        ST,34.2245,-118.5975,21,2105,1,1202 0344,83,M,B,108,0.0,IC,0,53.0,2020,7,2,31,6,6.985641817639208
7800    FOOTHILL                     BL,34.2591,-118.3027,16,1656,1,1607 0398 1402,0,M,W,405,0.0,AA,0,3.71,2020,6,0,7,6,3.2188758248682006
4000 W  58TH                         PL,33.988,-118.3449,12,1231,2,2000 1813 1243 0913 0416 0446,31,F,B,501,400.0,AO,1,16.96,2020,6,0,29,0,0.0
2ND                          ST,34.0657,-118.268,2,236,2,0906 1816 0329 1402 0311 1822,30,M,H,501,0.0,IC,0,48.3625,2020,7,5,18,5,0.0
6400    DREXEL                       AV,34.0689,-118.3675,7,732,1,344,31,F,H,501,0.0,IC,0,29.15,2020,7,3,16,3,0.0
4100    RADFORD                      AV,34.1472,-118.3921,15,1583,1,,0,,,707,0.0,IC,0,27.295,2020,9,0,27,6,3.2188758248682006
CADILLAC,34.0385,-118.378,8,889,1,0344 0346 0342 1822,36,M,H,102,400.0,IC,0,13.780000000000001,2020,2,2,26,2,0.0
5800    FRANKLIN                     AV,34.115,-118.3124,6,629,2,0400 0444 1822 1300 1309 0209,20,F,W,406,400.0,IC,1,37.4975,2020,7,5,11,5,0.0
12200    SHERMAN                      WY,34.201,-118.399,15,1503,1,,0,,,101,0.0,IC,0,31.8,2022,8,5,20,0,9.909121651153221
W  29TH                         ST,34.0295,-118.3317,3,334,1,0344 0394,25,M,H,119,0.0,IC,0,37.1,2020,6,1,6,2,6.705639094860003
12200    CANTURA                      ST,34.1424,-118.3989,15,1591,1,1300 0344 1203,29,M,W,101,0.0,IC,0,59.625,2020,8,2,7,4,5.666426688112432
7000    LEXINGTON                    AV,34.0926,-118.3416,6,663,1,1822 1601 1605 1606,30,F,B,502,500.0,IC,0,62.1425,2020,12,0,20,6,3.2188758248682006
8200    HATILLO                      AV,34.218,-118.5656,21,2129,2,1501,55,F,W,501,0.0,IC,2,37.1,2020,1,5,18,5,0.0
3700    MENTONE                      AV,34.0222,-118.4068,14,1406,1,,0,,,101,0.0,IC,0,39.75,2020,1,4,7,1,4.290459441148391
MARGATE,34.1675,-118.5226,10,1065,1,1822 0344,0,M,O,502,0.0,IC,0,54.457499999999996,2020,5,0,2,5,3.8918202981106265
20800    STAGG                        ST,34.2112,-118.5858,21,2126,2,0377 1822,55,F,H,501,0.0,IC,3,31.8,2020,3,4,13,4,0.0
14500    VANOWEN                      ST,34.1939,-118.4487,9,923,1,0358 1420 1602 1607 0321 1402 0344,0,X,X,202,514.0,IC,0,58.3,2020,2,3,26,2,3.2188758248682006
4400    6TH                          AV,34.0032,-118.3236,3,392,2,1202 0913 2000 1814,60,F,B,501,0.0,AO,2,0.026500000000000003,2020,12,2,25,2,6.734591659972948
3400 W  3RD                          ST,34.0691,-118.2899,20,2029,2,0416 0446 1237 1822 1300,38,M,H,402,400.0,IC,1,27.1625,2020,11,3,26,3,0.0
11600    GORHAM                       AV,34.0543,-118.4657,8,827,1,0344 0346,32,F,W,707,0.0,IC,0,48.495000000000005,2020,7,3,26,6,4.574710978503383
16500    VANOWEN                      ST,34.1939,-118.4924,10,1028,2,2000 1813 0913 0400 0416 1202 2021 0417,62,M,W,502,400.0,AO,1,58.6975,2020,4,2,8,2,0.0
BLINN                        AV,33.7903,-118.2453,5,528,1,0329 1300,0,M,O,101,0.0,IC,0,6.625,2020,5,1,19,1,0.0
800 N  VERMONT                      AV,34.0859,-118.2917,2,203,1,0334 1822 1309 0340,46,M,B,203,102.0,IC,2,61.082499999999996,2020,10,1,13,1,0.0
12900    HERRICK                      AV,34.3066,-118.4549,19,1913,1,1817 0913 1402 0561,52,M,H,501,200.0,AA,1,42.4,2020,9,2,23,2,0.0
6200 W  MANCHESTER                   AV,33.9598,-118.394,14,1487,1,329,0,X,X,203,0.0,IC,0,15.9,2020,7,4,31,4,0.0
3600 S  BROADWAY,34.0165,-118.2755,13,1341,2,329,0,M,H,203,0.0,IC,0,47.7,2020,7,5,3,4,3.2188758248682006
10600    OXNARD                       ST,34.1829,-118.365,15,1529,2,2000 0444 0448,24,F,W,502,400.0,AA,1,58.3,2021,1,0,21,0,5.820082930352362
100    LUCAS                        AV,34.0613,-118.2598,2,237,1,,0,,,707,0.0,IC,0,27.1625,2020,12,2,16,2,0.0
1300 E  21ST                         ST,34.0221,-118.2519,13,1324,1,1202 0358 1611,68,M,H,108,0.0,IC,0,47.7,2020,8,4,27,3,3.2188758248682006
1000 W  D                            ST,33.7735,-118.2749,5,524,1,344,60,M,B,710,0.0,IC,0,0.026500000000000003,2020,11,4,17,1,4.290459441148391
8500    MAMMOTH                      AV,34.2249,-118.4344,19,1987,1,344,70,M,W,121,0.0,IC,0,54.192499999999995,2020,8,4,12,2,3.8918202981106265
12300    SAN FERNANDO                 RD,34.2962,-118.4554,19,1924,1,0344 2032 1202,77,F,H,501,0.0,IC,0,21.995,2020,11,6,29,6,0.0
8300    RESEDA                       BL,34.2207,-118.5361,17,1794,1,1607 0344 0321,54,F,O,203,0.0,IC,0,45.05,2020,4,2,31,1,3.2188758248682006
1500    REXFORD                      DR,34.0504,-118.3943,8,857,1,0344 0352 1210 1822,33,F,W,501,0.0,IC,0,21.2,2020,7,1,1,6,8.134174272137903
700 E  10TH                         ST,34.0349,-118.2503,13,1303,1,1609 0358 0344,0,X,X,203,0.0,IC,0,45.05,2020,8,0,28,4,4.290459441148391
4500 W  HOLLYWOOD                    BL,34.0984,-118.2874,11,1162,2,,0,,,203,0.0,IC,3,43.725,2020,10,3,26,5,4.795790545596741
8500    FOOTHILL                     BL,34.2724,-118.3243,16,1617,1,,0,,,101,0.0,IC,0,47.7,2020,10,6,16,4,3.8918202981106265
MAIN,33.9271,-118.276,18,1862,1,,0,,,101,0.0,IC,0,31.8,2020,6,5,4,3,3.8918202981106265
500 W  109TH                        ST,33.9374,-118.2826,18,1841,1,1601 1606 0344 1822,48,M,H,501,0.0,IC,0,45.05,2020,1,4,16,3,3.2188758248682006
13600    MARINA POINTE                DR,33.9857,-118.4435,14,1444,2,1814 2000 0400 0416 0444 0429,39,M,O,502,400.0,AO,1,13.6475,2020,2,3,6,3,0.0
3500 S  LA CIENEGA                   BL,34.0237,-118.3722,3,321,1,0104 0325 0334 1822 1266 0945,19,X,X,404,204.0,IC,0,29.15,2020,8,6,23,6,0.0
EUSTACE,34.2856,-118.4127,16,1601,1,1822 0906 1816 0334 0416,19,M,H,101,109.0,IC,2,51.41,2020,5,6,17,6,0.0
5400 W  HOLLYWOOD                    BL,34.1036,-118.3049,6,639,1,1822 0325,0,X,X,203,0.0,IC,0,34.503,2020,8,3,6,3,0.0
CRENSHAW,33.9745,-118.3309,12,1251,1,0334 1822 2033 0910,50,M,B,101,200.0,IC,2,45.58,2020,8,5,29,5,0.0
18200    VANOWEN                      ST,34.1975,-118.5273,10,1025,1,,0,,,101,0.0,IC,0,21.2,2020,3,6,15,6,0.0
APPLE,34.0344,-118.3566,7,783,1,0302 0202 1822,48,M,B,101,102.0,IC,1,58.3,2020,10,5,17,5,0.0
10500    EASTBORNE                    AV,34.0554,-118.4292,8,834,1,,0,,,707,0.0,IC,0,34.45,2020,12,0,12,5,3.8918202981106265
200 W  MANCHESTER                   AV,33.9601,-118.2761,18,1802,1,1607 0329 0344 1236,44,M,H,203,0.0,IC,0,45.05,2020,3,1,9,0,3.2188758248682006
8500 W  3RD                          ST,34.0734,-118.3765,7,721,1,0344 0416 0417 1300,22,M,H,108,500.0,AO,0,42.4,2020,7,1,14,1,0.0
14300    ROSCOE                       BL,34.2264,-118.4493,19,1985,1,0344 2032,24,M,B,102,0.0,IC,0,29.945,2020,2,5,8,5,0.0
500 E  AVENUE 39,34.0883,-118.2056,4,402,1,1202 0334 0913,88,F,W,502,0.0,IC,0,23.85,2020,6,0,13,5,3.8918202981106265
